siteID,year,genus,<0,0-8,8-28,-48,-68,-88,>88,max_diam,max_hgt,leaf_area_ind,basal_area,total_biomC,pl_biomC_std,total_biomN,pl_biomN_std
690,10,Magnolia',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Malus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Morus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Nyssa',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Olneya',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Ostrya',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Oxydendron',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Paulownia',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Persea',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Picea',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Pinus',0,791,4,0,0,0,0,11.876668930053711,7.886467456817627,288.0491123986244,1.0881884453801498,1276.2019971114398,4221.142452055332,0.006996713826860531,22.63946302498596
690,10,Planera',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Platanus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Populus',0,4744,29,0,0,0,0,12.625714302062988,8.597679138183594,1441.869746885274,5.398895801322283,4944.657610887811,5811.244559560378,0.03174464406547121,38.01342126291659
690,10,Prosopis',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Prunus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Pseudotsuga',0,40,0,0,0,0,0,3.821068286895752,2.9042773246765137,20.038881738185882,0.04646536576262596,72.33521985292435,1142.6509099790978,0.0004501954456431201,7.111535848587415
690,10,Quercus',0,142,4,0,0,0,0,8.358354568481445,5.011539936065674,56.67034930915017,0.290510485487057,346.80477272331717,2293.62558349529,0.0015864784338427693,10.491950831523143
690,10,Robinia',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Salix',0,1390,0,0,0,0,0,7.195222854614258,5.75404691696167,317.9587633332497,1.2682822378900525,1190.2023057219387,3285.569551837959,0.007222087052875556,20.131478944095896
690,10,Sassafras',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Sequoia',0,1,0,0,0,0,0,3.0635716915130615,2.2664477825164795,0.7344342744350433,0.0014447810888205727,2.424736396074295,54.21875409139978,1.5996798375310992e-05,0.3576992858955358
690,10,Sequoiadendron',0,17,0,0,0,0,0,2.3531415462493896,1.9987181425094604,4.756892359256744,0.007619387945957908,15.592753279209138,348.664562886948,0.00010336122903041523,2.311227343499345
690,10,Sorbus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Taxodium',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Taxus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Thuja',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Tilia',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Torreya',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Tsuga',0,20,0,0,0,0,0,4.830638885498047,4.300308704376221,6.27805579662323,0.03760766623088143,36.42538697719574,814.4964138774476,0.0001716283308472468,3.837726146392732
690,10,Ulmus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,10,Umbellularia',0,20,2,0,0,0,0,9.409747123718262,5.549309730529785,12.140595767498016,0.031692256795082745,55.66932235479355,882.2190429887294,0.0002990737659614516,4.7874078127519395
690,20,Abies',0,48,0,0,0,0,0,6.318260669708252,6.324660778045654,18.28696323156357,0.0814341133021288,91.78335254192352,1540.5999592701469,0.00046810803040985943,7.893266142122425
690,20,Acer',0,183,0,0,0,0,0,7.435730934143066,4.622433185577393,54.4404743691977,0.3666869886269774,334.5000578799844,2486.3265211561497,0.0015270343431159838,10.939970871136715
690,20,Aesculus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
690,20,Ailanthus',0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
