siteID,year,rain,pet,aet,grow,degd,dryd_upper,dryd_base,flood_d
83,10,1296.3403,79.81553,79.81553,311.0,2025.3036,0.0,0.0,1.0707395
83,20,1303.6198,77.1582,77.1582,330.0,1906.749,0.0,0.0,1.0454545
83,30,1339.7273,79.75126,79.75126,287.0,2092.781,0.0,0.0,1.2473868
83,40,1385.1099,80.34518,80.34518,309.0,2185.416,0.0,0.0,1.1294498
83,50,1321.8756,81.96438,81.96438,307.0,2254.1775,0.0,0.0,1.1042346
83,60,1175.1892,80.05404,80.05404,292.0,2120.7268,0.0,0.0,1.2431507
83,70,1312.4551,80.42391,80.42391,322.0,2151.322,0.0,0.0,1.0900621
83,80,1171.1792,80.25372,80.25372,325.0,2147.4343,0.0,0.0,1.1107693
83,90,1208.2701,79.694244,79.694244,284.0,2073.1904,0.0,0.0,1.2852113
83,100,1287.5613,81.32458,81.32458,326.0,2128.8103,0.0,0.0,1.1196319
83,110,1349.2043,80.21815,80.21815,339.0,2132.1025,0.0,0.0,1.0176991
83,120,1180.3816,77.68769,77.68769,317.0,2040.2577,0.0,0.0,1.0883281
83,130,1278.8015,80.25473,80.25473,329.0,2164.5835,0.0,0.0,1.0851064
83,140,1250.9951,80.74542,80.74542,319.0,2201.6914,0.0,0.0,1.137931
83,150,1175.0077,81.88484,81.88484,285.0,2175.113,0.0,0.0,1.1333333
83,160,1277.5996,79.875175,79.875175,291.0,2075.6743,0.0,0.0,1.2061856
83,170,1183.2146,81.555244,81.555244,309.0,2179.643,0.0,0.0,1.1650486
83,180,1200.4006,81.08879,81.08879,345.0,2132.9255,0.0,0.0,1.0405797
83,190,1179.4576,79.18614,79.18614,359.0,2057.7012,0.0,0.0,1.0167131
83,200,1182.8124,78.60588,78.60588,278.0,2105.4756,0.0,0.0,1.2841727
83,210,1230.1257,79.331795,79.331795,286.0,2040.1595,0.0,0.0,1.2762238
83,220,1256.7303,82.74491,82.74491,334.0,2347.1362,0.0,0.0,1.0928143
83,230,1255.9735,79.41543,79.41543,335.0,2082.2478,0.0,0.0,1.0895523
83,240,1282.6711,81.02286,81.02286,305.0,2217.7886,0.0,0.0,1.1967213
83,250,1255.0325,81.848564,81.848564,365.0,2327.2896,0.0,0.0,0.969863
83,260,1242.7489,79.93248,79.93248,326.0,2114.1255,0.0,0.0,1.1104294
83,270,1171.2324,80.87811,80.87811,300.0,2162.4229,0.0,0.0,1.2166667
83,280,1161.0813,79.286934,79.286934,365.0,2062.4612,0.0,0.0,1.0
83,290,1370.4994,81.10936,81.10936,322.0,2249.3696,0.0,0.0,1.1335404
83,300,1173.0817,80.21579,80.21579,273.0,2123.8513,0.0,0.0,1.3260074
83,310,1319.4502,77.9555,77.9555,297.0,1980.1183,0.0,0.0,1.1717172
83,320,1232.809,80.02152,80.02152,305.0,2189.1658,0.0,0.0,1.1180328
83,330,1244.1476,78.446495,78.446495,296.0,2045.7334,0.0,0.0,1.2195946
83,340,1124.1311,81.45375,81.45375,309.0,2260.9036,0.0,0.0,1.1100323
83,350,1259.9838,81.19685,81.19685,317.0,2263.8225,0.0,0.0,1.0757098
83,360,1236.6085,81.48003,81.48003,329.0,2241.715,0.0,0.0,1.1094224
83,370,1158.6998,79.35725,79.35725,281.0,2064.1113,0.0,0.0,1.2989324
83,380,1314.4932,81.64468,81.64468,365.0,2199.8254,0.0,0.0,1.0
83,390,1304.0789,79.295555,79.295555,301.0,2102.0002,0.0,0.0,1.2126245
83,400,1218.6328,79.93569,79.93569,291.0,2078.5105,0.0,0.0,1.1958762
83,410,1312.2736,81.68661,81.68661,350.0,2278.4475,0.0,0.0,1.0428572
83,420,1207.4933,82.10591,82.10591,328.0,2262.4924,0.0,0.0,1.1006098
83,430,1240.6825,81.57502,81.57502,345.0,2258.658,0.0,0.0,1.057971
83,440,1224.0371,77.668045,77.668045,284.0,1998.1371,0.0,0.0,1.2852113
83,450,1351.5704,80.48776,80.48776,308.0,2197.589,0.0,0.0,1.1850649
83,460,1260.2808,79.51826,79.51826,326.0,2146.932,0.0,0.0,1.1196319
83,470,1319.7467,80.35726,80.35726,292.0,2095.0063,0.0,0.0,1.25
83,480,1350.7705,79.21833,79.21833,279.0,2015.3572,0.0,0.0,1.3082438
83,490,1379.7882,79.33554,79.33554,288.0,2094.798,0.0,0.0,1.2673612
83,500,1266.8469,81.59874,81.59874,308.0,2221.633,0.0,0.0,1.1720779
83,510,1145.9695,81.30577,81.30577,282.0,2172.601,0.0,0.0,1.2943262
83,520,1156.1814,78.51457,78.51457,293.0,2023.3043,0.0,0.0,1.2457337
83,530,1284.682,79.05883,79.05883,299.0,2044.8552,0.0,0.0,1.2207358
83,540,1318.6184,81.46524,81.46524,319.0,2257.973,0.0,0.0,1.1442007
83,550,1285.8805,80.56579,80.56579,312.0,2165.119,0.0,0.0,1.1698718
83,560,1294.6783,79.88235,79.88235,294.0,2108.8206,0.0,0.0,1.2414966
83,570,1227.2462,81.496925,81.496925,349.0,2237.673,0.0,0.0,1.0458453
83,580,1280.4562,80.601295,80.601295,291.0,2159.7283,0.0,0.0,1.2508591
83,590,1128.8008,79.892,79.892,300.0,2081.7937,0.0,0.0,1.2166667
83,600,1343.0413,81.207726,81.207726,301.0,2243.6548,0.0,0.0,1.2126245
83,610,1376.1147,83.01733,83.01733,365.0,2368.3562,0.0,0.0,1.0
83,620,1140.4103,78.15509,78.15509,302.0,2014.464,0.0,0.0,1.1953642
83,630,1174.4287,80.428154,80.428154,279.0,2136.4216,0.0,0.0,1.3082438
83,640,1271.3024,78.968925,78.968925,290.0,2075.7656,0.0,0.0,1.2517241
83,650,1171.8966,80.157646,80.157646,294.0,2158.871,0.0,0.0,1.2414966
83,660,1228.8074,79.6361,79.6361,365.0,2085.3777,0.0,0.0,1.0
83,670,1328.524,80.72404,80.72404,307.0,2188.3347,0.0,0.0,1.188925
83,680,1285.1925,80.77077,80.77077,302.0,2147.2454,0.0,0.0,1.2019868
83,690,1264.5988,81.14634,81.14634,281.0,2135.7708,0.0,0.0,1.2989324
83,700,1202.9086,81.04969,81.04969,301.0,2196.2786,0.0,0.0,1.2126245
83,710,1169.1477,78.77775,78.77775,271.0,1991.5245,0.0,0.0,1.3468635
83,720,1199.6913,80.30444,80.30444,318.0,2105.7168,0.0,0.0,1.1383648
83,730,1310.5505,78.55863,78.55863,301.0,2043.2313,0.0,0.0,1.2126245
83,740,1259.5024,80.23634,80.23634,315.0,2104.5623,0.0,0.0,1.1587301
83,750,1144.3749,79.303566,79.303566,282.0,2050.569,0.0,0.0,1.2943262
83,760,1145.338,80.57097,80.57097,323.0,2145.4338,0.0,0.0,1.123839
83,770,1176.8431,80.03551,80.03551,300.0,2148.7346,0.0,0.0,1.2166667
83,780,1299.8035,80.539635,80.539635,344.0,2177.1526,0.0,0.0,1.0610465
83,790,1250.6614,79.99076,79.99076,287.0,2123.8264,0.0,0.0,1.271777
83,800,1221.5436,79.43496,79.43496,285.0,2084.2678,0.0,0.0,1.2807018
83,810,1250.4467,80.728355,80.728355,300.0,2154.9766,0.0,0.0,1.2166667
83,820,1177.6838,81.34109,81.34109,331.0,2272.8264,0.0,0.0,1.1027191
83,830,1159.0168,81.16661,81.16661,316.0,2247.71,0.0,0.0,1.1518987
83,840,1314.1615,81.093544,81.093544,327.0,2155.2976,0.0,0.0,1.088685
83,850,1411.5981,80.63797,80.63797,334.0,2235.1768,0.0,0.0,1.0928143
83,860,1319.1526,80.48862,80.48862,296.0,2090.7993,0.0,0.0,1.2331082
83,870,1201.2479,81.128716,81.128716,314.0,2221.0999,0.0,0.0,1.1624204
83,880,1379.7329,80.19307,80.19307,313.0,2128.526,0.0,0.0,1.1661342
83,890,1258.0076,79.9239,79.9239,277.0,2062.6055,0.0,0.0,1.3176895
83,900,1214.9559,80.66993,80.66993,360.0,2196.2751,0.0,0.0,1.0138888
83,910,1296.5133,81.1101,81.1101,304.0,2133.156,0.0,0.0,1.2006578
83,920,1258.6962,79.53097,79.53097,278.0,2069.2515,0.0,0.0,1.3129497
83,930,1259.1139,81.746895,79.324936,312.0,2252.3408,0.0,0.022435898,1.073718
83,940,1285.2137,80.13931,80.13931,365.0,2217.5303,0.0,0.0,1.0
83,950,1215.7516,79.21577,79.21577,277.0,2041.8356,0.0,0.0,1.3176895
83,960,1190.2639,81.57131,81.57131,309.0,2230.8594,0.0,0.0,1.1812298
83,970,1264.5436,81.65483,81.65483,336.0,2309.311,0.0,0.0,1.0863096
83,980,1146.0281,79.83413,79.83413,280.0,2063.5317,0.0,0.0,1.2928572
83,990,1288.1517,79.358795,79.358795,319.0,2081.8816,0.0,0.0,1.1442007
83,1000,1322.8274,80.51792,80.51792,300.0,2121.3303,0.0,0.0,1.2166667
