siteID,year,genus,species,<0,0-8,8-28,-48,-68,-88,>88,max_diam,max_hgt,leaf_area_ind,basal_area,total_biomC,pl_biomC_std,total_biomN,pl_biomN_std
0,0,Acer',ACERrubr,0,881,0,0,0,0,0,2.5,2.067484,0.136979,0.193215,0.268986,0.045028,0.000003,0.000419
0,0,Acer',ACERsacc,0,648,0,0,0,0,0,2.5,2.069257,0.099922,0.1409,0.215279,0.041887,0.000002,0.000368
0,0,Aesculus',AESCocta,0,8,0,0,0,0,0,2.5,2.069257,0.001278,0.00182,0.00196,0.003559,2.275042e-08,0.000041
0,0,Carya',CARYcord,0,10,0,0,0,0,0,2.5,2.069107,0.001663,0.002256,0.003671,0.005785,3.210074e-08,0.00005
0,0,Carya',CARYglab,0,8,0,0,0,0,0,2.5,2.066874,0.001386,0.0019,0.003285,0.00606,2.724467e-08,0.000049
0,0,Carya',CARYovat,0,8,0,0,0,0,0,2.5,2.067292,0.001517,0.00217,0.003562,0.006107,2.975810e-08,0.00005
0,0,Carya',CARYtome,0,8,0,0,0,0,0,2.5,2.065603,0.001395,0.001837,0.003155,0.005553,2.709451e-08,0.000047
0,0,Cercis',CERCcana,0,9,0,0,0,0,0,2.5,1.546806,0.00455,0.002132,0.009488,0.014822,8.658216e-08,0.000134
0,0,Comus',CORNflor,0,6,0,0,0,0,0,2.5,1.545985,0.003233,0.001591,0.006691,0.01266,6.141145e-08,0.000115
0,0,Diospyros',DIOSvirg,0,5,0,0,0,0,0,2.5,2.067292,0.000847,0.001238,0.00213,0.004492,1.692397e-08,0.000035
0,0,Fagus',FAGUgran,0,8,0,0,0,0,0,2.5,2.066648,0.001376,0.002103,0.00307,0.005833,2.662855e-08,0.00005
0,0,Fraxinus',FRAXamer,0,896,0,0,0,0,0,2.5,2.066874,0.146634,0.193437,0.298295,0.048553,0.000003,0.000442
0,0,Juglans',JUGLnigr,0,8,0,0,0,0,0,2.5,2.06832,0.001327,0.001637,0.002495,0.005373,2.464832e-08,0.000052
0,0,Juniperus',JUNIvirg,0,9,0,0,0,0,0,2.5,2.672904,0.001221,0.002244,0.002894,0.004975,2.406350e-08,0.000041
0,0,Liquidambar',LIQUstya,0,65,0,0,0,0,0,2.5,1.549214,0.034635,0.014083,0.053278,0.031848,6.169806e-07,0.000367
0,0,Liriodendron',LIRItuli,0,872,0,0,0,0,0,2.5,2.681334,0.105523,0.192676,0.197716,0.034999,0.000002,0.000337
