site_id,year,latitude,longitude,elevation,slope,leaf_area_ind,grow_days,deg_days,flood_days,dry_days_upper,dry_days_base,pot_evap_day,act_evap_day,rain
0,0,36.0028,-84.2486,275.8,0.000000e+00,0.000000e+00,300,3562.5,0,34.327767,0,0.465729,0.083961,3.791673
0,1,36.0028,-84.2486,275.8,0.000000e+00,0.9841,300,3562.5,0,36.480262,0,0.465729,0.082555,3.815226
0,2,36.0028,-84.2486,275.8,0.000000e+00,2.177261,300,3562.5,0,0,0,0.465729,0.08295,3.746193
0,3,36.0028,-84.2486,275.8,0.000000e+00,3.004877,300,3562.5,0,73.443129,0,0.465729,0.083928,3.781378
0,4,36.0028,-84.2486,275.8,0.000000e+00,4.144991,300,3562.5,0,0,0,0.465729,0.083868,3.798637
0,5,36.0028,-84.2486,275.8,0.000000e+00,5.593523,300,3562.5,0,0,0,0.465729,0.081157,3.79168
0,6,36.0028,-84.2486,275.8,0.000000e+00,7.292191,300,3562.5,0,9.977669,0,0.465729,0.082742,3.765079
0,7,36.0028,-84.2486,275.8,0.000000e+00,9.145896,300,3562.5,0,4.515551,0,0.465729,0.084507,3.786099
0,8,36.0028,-84.2486,275.8,0.000000e+00,10.173607,300,3562.5,0,0,0,0.465729,0.081921,3.803441
0,9,36.0028,-84.2486,275.8,0.000000e+00,7.798127,300,3562.5,0,4.05856,0,0.465729,0.084612,3.83066
0,10,36.0028,-84.2486,275.8,0.000000e+00,8.979287,300,3562.5,0,5.179385,0,0.465729,0.082178,3.813072
0,11,36.0028,-84.2486,275.8,0.000000e+00,9.861641,300,3562.5,0,0,0,0.465729,0.081167,3.842342
0,12,36.0028,-84.2486,275.8,0.000000e+00,8.006751,300,3562.5,0,0,0,0.465729,0.082637,3.827305
0,13,36.0028,-84.2486,275.8,0.000000e+00,7.90428,300,3562.5,0,1.012298,0,0.465729,0.083072,3.797905
0,14,36.0028,-84.2486,275.8,0.000000e+00,7.848238,300,3562.5,0,0,0,0.465729,0.084476,3.825973
0,15,36.0028,-84.2486,275.8,0.000000e+00,7.541853,300,3562.5,0,4.991935,0,0.465729,0.08273,3.799278
0,16,36.0028,-84.2486,275.8,0.000000e+00,7.421753,300,3562.5,0,2.437581,0,0.465729,0.083571,3.766394
0,17,36.0028,-84.2486,275.8,0.000000e+00,7.378761,300,3562.5,0,0,0,0.465729,0.082691,3.743355
0,18,36.0028,-84.2486,275.8,0.000000e+00,7.223966,300,3562.5,0,3.202549,0,0.465729,0.084451,3.836805
0,19,36.0028,-84.2486,275.8,0.000000e+00,7.227134,300,3562.5,0,6.114614,0,0.465729,0.082428,3.842217
0,20,36.0028,-84.2486,275.8,0.000000e+00,7.165513,300,3562.5,0,2.361513,0,0.465729,0.085015,3.788692
0,21,36.0028,-84.2486,275.8,0.000000e+00,7.010601,300,3562.5,0,9.911186,0,0.465729,0.082093,3.827704
0,22,36.0028,-84.2486,275.8,0.000000e+00,7.024115,300,3562.5,0,10.735891,0,0.465729,0.078987,3.774141
0,23,36.0028,-84.2486,275.8,0.000000e+00,6.979815,300,3562.5,0,0,0,0.465729,0.085135,3.769182
0,24,36.0028,-84.2486,275.8,0.000000e+00,6.912978,300,3562.5,0,0,0,0.465729,0.083297,3.814228
0,25,36.0028,-84.2486,275.8,0.000000e+00,6.786751,300,3562.5,0,0,0,0.465729,0.080763,3.801725
0,26,36.0028,-84.2486,275.8,0.000000e+00,6.818452,300,3562.5,0,4.067899,0,0.465729,0.080414,3.758997
0,27,36.0028,-84.2486,275.8,0.000000e+00,6.689599,300,3562.5,0,0,0,0.465729,0.083162,3.751121
0,28,36.0028,-84.2486,275.8,0.000000e+00,6.649972,300,3562.5,0,0,0,0.465729,0.081032,3.797119
0,29,36.0028,-84.2486,275.8,0.000000e+00,6.62937,300,3562.5,0,21.730819,0,0.465729,0.084547,3.81533
0,30,36.0028,-84.2486,275.8,0.000000e+00,6.615105,300,3562.5,0,16.772364,0,0.465729,0.084597,3.780124
0,31,36.0028,-84.2486,275.8,0.000000e+00,6.604294,300,3562.5,0,0,0,0.465729,0.085897,3.75995
0,32,36.0028,-84.2486,275.8,0.000000e+00,6.570165,300,3562.5,0,0,0,0.465729,0.0859,3.835685
0,33,36.0028,-84.2486,275.8,0.000000e+00,6.473201,300,3562.5,0,4.849674,0,0.465729,0.084115,3.771755
0,34,36.0028,-84.2486,275.8,0.000000e+00,6.392596,300,3562.5,0,10.315607,0,0.465729,0.082646,3.745109
0,35,36.0028,-84.2486,275.8,0.000000e+00,6.299494,300,3562.5,0,9.893012,0,0.465729,0.08372,3.770113
0,36,36.0028,-84.2486,275.8,0.000000e+00,6.201053,300,3562.5,0,26.300151,0,0.465729,0.083975,3.738658
0,37,36.0028,-84.2486,275.8,0.000000e+00,6.239116,300,3562.5,0,31.916897,0,0.465729,0.084946,3.764098
0,38,36.0028,-84.2486,275.8,0.000000e+00,6.056607,300,3562.5,0,17.147754,0,0.465729,0.082334,3.737315
0,39,36.0028,-84.2486,275.8,0.000000e+00,5.96025,300,3562.5,0,0,0,0.465729,0.083226,3.781854
0,40,36.0028,-84.2486,275.8,0.000000e+00,5.918967,300,3562.5,0,16.202379,0,0.465729,0.083117,3.781821
0,41,36.0028,-84.2486,275.8,0.000000e+00,5.844128,300,3562.5,0,34.521506,0,0.465729,0.083674,3.832644
0,42,36.0028,-84.2486,275.8,0.000000e+00,5.736129,300,3562.5,0,0,0,0.465729,0.082292,3.788404
0,43,36.0028,-84.2486,275.8,0.000000e+00,5.707876,300,3562.5,0,0,0,0.465729,0.083469,3.835668
0,44,36.0028,-84.2486,275.8,0.000000e+00,5.621542,300,3562.5,0,25.553882,0,0.465729,0.08166,3.813316
0,45,36.0028,-84.2486,275.8,0.000000e+00,5.506204,300,3562.5,0,5.734773,0,0.465729,0.08269,3.813903
0,46,36.0028,-84.2486,275.8,0.000000e+00,5.454286,300,3562.5,0,0,0,0.465729,0.082426,3.771861
0,47,36.0028,-84.2486,275.8,0.000000e+00,5.344492,300,3562.5,0,5.69343,0,0.465729,0.081978,3.772863
0,48,36.0028,-84.2486,275.8,0.000000e+00,5.278626,300,3562.5,0,0,0,0.465729,0.083255,3.787214
0,49,36.0028,-84.2486,275.8,0.000000e+00,5.23477,300,3562.5,0,0,0,0.465729,0.083562,3.784953
0,50,36.0028,-84.2486,275.8,0.000000e+00,5.291487,300,3562.5,0,0,0,0.465729,0.083891,3.812035
0,51,36.0028,-84.2486,275.8,0.000000e+00,5.147499,300,3562.5,0,0,0,0.465729,0.080946,3.841728
0,52,36.0028,-84.2486,275.8,0.000000e+00,5.173177,300,3562.5,0,7.303882,0,0.465729,0.084391,3.812763
0,53,36.0028,-84.2486,275.8,0.000000e+00,5.234815,300,3562.5,0,21.28155,0,0.465729,0.082232,3.845309
0,54,36.0028,-84.2486,275.8,0.000000e+00,5.16607,300,3562.5,0,6.558026,0,0.465729,0.082729,3.776896
0,55,36.0028,-84.2486,275.8,0.000000e+00,5.17343,300,3562.5,0,0,0,0.465729,0.084468,3.789231
0,56,36.0028,-84.2486,275.8,0.000000e+00,5.151537,300,3562.5,0,6.628691,0,0.465729,0.083809,3.729691
0,57,36.0028,-84.2486,275.8,0.000000e+00,5.121573,300,3562.5,0,0,0,0.465729,0.082933,3.763703
0,58,36.0028,-84.2486,275.8,0.000000e+00,5.039285,300,3562.5,0,0,0,0.465729,0.083594,3.781345
0,59,36.0028,-84.2486,275.8,0.000000e+00,5.131822,300,3562.5,0,0,0,0.465729,0.082849,3.790206
0,60,36.0028,-84.2486,275.8,0.000000e+00,5.090172,300,3562.5,0,14.443212,0,0.465729,0.0822,3.813222
0,61,36.0028,-84.2486,275.8,0.000000e+00,5.032717,300,3562.5,0,0,0,0.465729,0.083422,3.83095
0,62,36.0028,-84.2486,275.8,0.000000e+00,5.027491,300,3562.5,0,7.665891,0,0.465729,0.082216,3.799545
0,63,36.0028,-84.2486,275.8,0.000000e+00,5.030952,300,3562.5,0,0,0,0.465729,0.083474,3.729945
0,64,36.0028,-84.2486,275.8,0.000000e+00,5.026388,300,3562.5,0,7.547381,0,0.465729,0.080575,3.792805
0,65,36.0028,-84.2486,275.8,0.000000e+00,5.076974,300,3562.5,0,0,0,0.465729,0.08158,3.754871
0,66,36.0028,-84.2486,275.8,0.000000e+00,5.019299,300,3562.5,0,28.40414,0,0.465729,0.083892,3.796423
0,67,36.0028,-84.2486,275.8,0.000000e+00,5.131965,300,3562.5,0,0,0,0.465729,0.080779,3.802867
0,68,36.0028,-84.2486,275.8,0.000000e+00,5.105206,300,3562.5,0,17.539285,0,0.465729,0.086368,3.793163
0,69,36.0028,-84.2486,275.8,0.000000e+00,5.095804,300,3562.5,0,8.370692,0,0.465729,0.084369,3.853219
0,70,36.0028,-84.2486,275.8,0.000000e+00,5.046226,300,3562.5,0,16.780702,0,0.465729,0.083174,3.737961
0,71,36.0028,-84.2486,275.8,0.000000e+00,5.122321,300,3562.5,0,0,0,0.465729,0.079413,3.753237
0,72,36.0028,-84.2486,275.8,0.000000e+00,5.110929,300,3562.5,0,0,0,0.465729,0.082262,3.791527
0,73,36.0028,-84.2486,275.8,0.000000e+00,5.109413,300,3562.5,0,14.597124,0,0.465729,0.080327,3.792863
0,74,36.0028,-84.2486,275.8,0.000000e+00,5.149639,300,3562.5,0,0,0,0.465729,0.084948,3.797785
0,75,36.0028,-84.2486,275.8,0.000000e+00,5.196092,300,3562.5,0,0,0,0.465729,0.082743,3.787576
0,76,36.0028,-84.2486,275.8,0.000000e+00,5.300719,300,3562.5,0,0,0,0.465729,0.08176,3.802601
0,77,36.0028,-84.2486,275.8,0.000000e+00,5.36319,300,3562.5,0,8.708699,0,0.465729,0.085127,3.784345
0,78,36.0028,-84.2486,275.8,0.000000e+00,5.370529,300,3562.5,0,0,0,0.465729,0.085939,3.811204
0,79,36.0028,-84.2486,275.8,0.000000e+00,5.444687,300,3562.5,0,0,0,0.465729,0.082614,3.802906
0,80,36.0028,-84.2486,275.8,0.000000e+00,5.399857,300,3562.5,0,31.483003,0,0.465729,0.081236,3.812052
0,81,36.0028,-84.2486,275.8,0.000000e+00,5.379325,300,3562.5,0,15.73065,0,0.465729,0.084125,3.801056
0,82,36.0028,-84.2486,275.8,0.000000e+00,5.392052,300,3562.5,0,0,0,0.465729,0.086482,3.836337
0,83,36.0028,-84.2486,275.8,0.000000e+00,5.371222,300,3562.5,0,9.983709,0,0.465729,0.083531,3.778179
