siteID,year,rain,pet,aet,grow,degd,dryd_upper,dryd_base,flood_d
978,10,1357.9661,111.82367,111.82367,265.0,2950.923,0.0,0.0,1.3584906
978,20,1273.4552,111.03703,111.03703,255.0,2821.5818,0.0,0.0,1.4196079
978,30,1322.5586,113.91952,113.91952,296.0,3101.9814,0.0,0.0,1.2297298
978,40,1165.4148,110.47586,110.47586,276.0,2862.4297,0.0,0.0,1.3224638
978,50,1094.5022,110.70022,110.70022,273.0,2889.0723,0.0,0.0,1.3223443
978,60,1145.8335,112.726524,112.726524,262.0,3082.6353,0.0,0.0,1.3931298
978,70,1199.9551,112.86021,112.86021,277.0,2986.1558,0.0,0.0,1.3176895
978,80,1235.3175,112.34535,112.34535,288.0,3062.7068,0.0,0.0,1.2604166
978,90,1206.8177,111.42128,111.42128,272.0,2938.682,0.0,0.0,1.3419118
978,100,1228.0542,110.96776,110.96776,278.0,2952.5051,0.0,0.0,1.3129497
978,110,1124.3353,112.13312,112.13312,265.0,2902.393,0.0,0.0,1.3773584
978,120,1305.1233,112.372986,112.372986,277.0,2987.1357,0.0,0.0,1.3176895
978,130,1163.8582,113.77449,113.77449,294.0,2968.9988,0.0,0.0,1.2414966
978,140,1149.2977,109.6227,109.6227,247.0,2786.551,0.0,0.0,1.4777328
978,150,1201.5413,112.10886,112.10886,278.0,2959.3477,0.0,0.0,1.3129497
978,160,1047.3018,111.410126,111.410126,271.0,2918.0586,0.0,0.0,1.3357934
978,170,1165.5515,109.038795,109.038795,244.0,2662.7417,0.0,0.0,1.4959016
978,180,1144.9255,111.64359,111.64359,293.0,2852.9678,0.0,0.0,1.2457337
978,190,1285.9033,109.49439,109.49439,269.0,2897.7961,0.0,0.0,1.3568773
978,200,1235.7472,111.219734,111.219734,265.0,2877.8547,0.0,0.0,1.3735849
978,210,1111.1976,112.09066,112.09066,293.0,2918.6084,0.0,0.0,1.2457337
978,220,1205.781,110.82284,110.82284,269.0,2850.3706,0.0,0.0,1.3568773
978,230,1150.6677,110.557335,110.557335,290.0,2889.9207,0.0,0.0,1.2586207
978,240,1313.9829,109.54335,109.54335,253.0,2778.949,0.0,0.0,1.4426877
978,250,1289.1946,111.48422,111.48422,275.0,3116.4385,0.0,0.0,1.3272728
978,260,1228.4281,114.341835,114.341835,281.0,2984.5007,0.0,0.0,1.2989324
978,270,1194.108,111.97312,111.97312,281.0,3021.2937,0.0,0.0,1.2989324
978,280,1140.6393,110.42412,110.42412,267.0,2991.3386,0.0,0.0,1.3670412
978,290,1204.3772,111.31848,111.31848,291.0,3133.813,0.0,0.0,1.2542956
978,300,1336.6006,110.34456,110.34456,295.0,2974.0378,0.0,0.0,1.2372881
978,310,1172.5367,111.71275,111.71275,258.0,2952.0596,0.0,0.0,1.4147286
978,320,1199.7416,110.55747,110.55747,284.0,2853.199,0.0,0.0,1.2852113
978,330,1312.4099,112.08203,112.08203,262.0,2910.5256,0.0,0.0,1.3931298
978,340,1195.8972,111.99491,111.99491,272.0,2953.9795,0.0,0.0,1.3419118
978,350,1237.1039,114.753685,114.753685,279.0,3099.268,0.0,0.0,1.3082438
978,360,1297.9474,112.64802,112.64802,282.0,3019.4387,0.0,0.0,1.2943262
978,370,1301.113,110.57801,110.57801,251.0,2895.245,0.0,0.0,1.4541832
978,380,1283.4933,111.073204,111.073204,289.0,2855.69,0.0,0.0,1.2629758
978,390,1245.3484,108.83579,108.83579,259.0,3021.6523,0.0,0.0,1.4092664
978,400,1256.2637,112.49014,112.49014,299.0,2966.4841,0.0,0.0,1.2207358
978,410,1131.4393,113.59632,113.59632,282.0,2962.5498,0.0,0.0,1.2943262
978,420,1153.1028,110.42576,110.42576,287.0,2866.9543,0.0,0.0,1.271777
978,430,1207.2081,109.8534,109.8534,290.0,2911.5928,0.0,0.0,1.2586207
978,440,1240.0935,110.03724,110.03724,244.0,2785.534,0.0,0.0,1.4959016
978,450,1199.9852,110.66662,110.66662,269.0,2926.9966,0.0,0.0,1.3568773
978,460,1117.3821,112.48487,112.48487,283.0,2995.851,0.0,0.0,1.2897526
978,470,1264.1017,109.62735,109.62735,261.0,2962.332,0.0,0.0,1.3984674
978,480,1326.5469,107.36857,107.36857,253.0,2710.4749,0.0,0.0,1.4426877
978,490,1221.4513,112.18061,112.18061,289.0,2899.5718,0.0,0.0,1.2629758
978,500,1253.9215,113.608215,113.608215,264.0,3078.5825,0.0,0.0,1.3825758
978,510,1217.398,114.95796,114.95796,294.0,3131.5361,0.0,0.0,1.2414966
978,520,1201.2078,111.67529,111.67529,293.0,2942.894,0.0,0.0,1.2457337
978,530,1358.4932,109.497086,109.497086,271.0,2795.3787,0.0,0.0,1.3468635
978,540,1158.9677,111.27069,111.27069,264.0,2898.223,0.0,0.0,1.3825758
