siteID,year,rain,pet,aet,grow,degd,dryd_upper,dryd_base,flood_d
784,10,1149.207,90.10679,90.10679,223.0,2149.093,0.0,0.0,1.6367713
784,20,1191.8788,93.94293,93.94293,240.0,2424.636,0.0,0.0,1.5208334
784,30,1146.977,91.13296,91.13296,230.0,2243.567,0.0,0.0,1.5869565
784,40,1181.7374,90.8714,90.8714,229.0,2097.161,0.0,0.0,1.5938865
784,50,1177.4407,92.45792,92.45792,237.0,2288.8577,0.0,0.0,1.5400844
784,60,1174.6073,85.640396,85.640396,216.0,2148.8313,0.0,0.0,1.6898148
784,70,1066.2163,89.88866,89.88866,231.0,2211.3582,0.0,0.0,1.5800866
784,80,1122.8745,90.71567,90.71567,239.0,2268.4553,0.0,0.0,1.5271966
784,90,1310.4277,89.52574,89.52574,222.0,2173.509,0.0,0.0,1.6441442
784,100,1115.4443,89.03371,89.03371,226.0,2264.3667,0.0,0.0,1.6150442
784,110,1094.2966,87.86736,87.86736,240.0,2103.7046,0.0,0.0,1.5208334
784,120,1175.6354,90.71796,90.71796,235.0,2157.1348,0.0,0.0,1.5531915
784,130,1152.5533,88.32291,88.32291,218.0,2122.2043,0.0,0.0,1.6743119
784,140,1204.9386,85.49775,85.49775,220.0,2042.3044,0.0,0.0,1.6590909
784,150,1302.9498,85.87898,85.87898,228.0,2147.405,0.0,0.0,1.6008772
784,160,1133.4526,95.03376,95.03376,219.0,2310.1755,0.0,0.0,1.6666666
784,170,1260.7231,90.30854,90.30854,219.0,2218.5059,0.0,0.0,1.6666666
784,180,1048.1484,90.18889,90.18889,244.0,2182.788,0.0,0.0,1.4959016
784,190,1204.7557,87.24698,87.24698,226.0,2226.6409,0.0,0.0,1.6150442
784,200,1192.959,89.84431,89.84431,235.0,2289.9167,0.0,0.0,1.5531915
784,210,1271.2053,88.912964,88.912964,230.0,2282.4763,0.0,0.0,1.5869565
784,220,1255.5833,90.28912,90.28912,213.0,2213.2832,0.0,0.0,1.7136151
784,230,1196.0526,87.105995,87.105995,226.0,2171.4683,0.0,0.0,1.6150442
784,240,1176.2075,92.14187,92.14187,238.0,2258.251,0.0,0.0,1.5336134
784,250,1109.1866,91.76682,91.76682,220.0,2343.4673,0.0,0.0,1.6590909
784,260,1137.0159,86.65942,86.65942,233.0,2103.6274,0.0,0.0,1.5665236
784,270,1183.9573,94.32994,94.32994,243.0,2362.8616,0.0,0.0,1.5020577
784,280,1242.676,87.91737,87.91737,225.0,2266.8254,0.0,0.0,1.6222222
784,290,1162.8721,88.13843,88.13843,215.0,2199.5842,0.0,0.0,1.6976744
