siteID,year,a0c0,ac0,a0n0,an0,bc0,bn0,soilresp,biomassC,C_into_A0,net_C_into_A0,net_prim_prodC,biomassN,N_into_A0,net_N_into_A0,net_prim_prodN,avail_n
784,10,8.420688,173.97171,0.21464178,13.100622,4.9763274,0.049517713,6.193712,0.0,8.050254,0.0,0.0,0.0,0.10758145,0.0011311419,0.0,0.12623318
784,20,11.022385,183.74675,0.22719987,13.04583,6.3254285,0.06579661,8.446234,0.0,7.7855988,0.0,0.0,0.0,0.10262744,0.0016485282,0.0,0.1390049
784,30,14.5785475,193.85144,0.24486588,12.971773,7.6156864,0.076333135,9.845334,0.0,11.792676,0.0,0.0,0.0,0.12013367,0.00066049397,0.0,0.13556874
784,40,19.543262,203.93521,0.2593964,12.946761,8.99861,0.08941771,11.398875,0.0,12.298327,0.0,0.0,0.0,0.1116478,0.0016516723,0.0,0.1324307
784,50,18.410841,212.71799,0.2486371,12.922059,10.514064,0.1056387,11.8282795,0.0,12.60754,0.0,0.0,0.0,0.11718115,0.001426895,0.0,0.13940302
784,60,22.857399,219.88211,0.25781924,12.883834,12.149919,0.12452669,13.328245,0.0,15.578806,0.0,0.0,0.0,0.117597185,0.0020237907,0.0,0.13566008
784,70,20.699814,225.93765,0.24930923,12.827994,13.784908,0.14209299,12.967658,0.0,17.000412,0.0,0.0,0.0,0.12622039,0.0014199183,0.0,0.13807261
784,80,20.343273,232.56258,0.25111595,12.803688,15.427955,0.15951622,12.867893,0.0,13.616739,0.0,0.0,0.0,0.11636419,0.0017097853,0.0,0.1402294
784,90,26.039593,239.0649,0.2604572,12.8220215,17.134377,0.17965637,14.868614,0.0,10.520558,0.0,0.0,0.0,0.09974564,0.002253089,0.0,0.14057428
784,100,26.064518,244.29771,0.25704756,12.8109455,18.927773,0.20000345,15.921942,0.0,18.953783,0.0,0.0,0.0,0.12460106,0.0022360429,0.0,0.14242074
784,110,26.065508,249.07831,0.26610056,12.800436,20.740118,0.22039565,14.169488,0.0,16.31299,0.0,0.0,0.0,0.118416175,0.0018301979,0.0,0.13283837
784,120,26.900005,253.82974,0.26568425,12.800152,22.556559,0.24072888,15.912068,0.0,9.719503,0.0,0.0,0.0,0.104435906,0.0018341407,0.0,0.14178126
784,130,25.012741,257.2585,0.25386226,12.782964,24.391483,0.26206282,14.903235,0.0,18.637674,0.0,0.0,0.0,0.1231756,0.002211202,0.0,0.14087032
784,140,27.858267,261.7043,0.27331135,12.798333,26.222233,0.28215066,14.68102,0.0,13.026736,0.0,0.0,0.0,0.11190062,0.0019513228,0.0,0.13449143
784,150,36.335217,265.97653,0.28653294,12.83399,28.080914,0.30359548,19.741034,0.0,19.944342,0.0,0.0,0.0,0.12284011,0.0021443844,0.0,0.14337079
784,160,20.255972,268.74405,0.24791585,12.801649,29.94847,0.32217175,14.186806,0.0,12.43343,0.0,0.0,0.0,0.11402134,0.001950489,0.0,0.15057349
784,170,37.74711,271.17487,0.2878405,12.777853,31.832636,0.34170124,20.661701,0.0,33.613808,0.0,0.0,0.0,0.15351287,0.0026572996,0.0,0.14419596
784,180,32.30619,274.18198,0.2781474,12.792163,33.70189,0.36221343,17.948713,0.0,14.002261,0.0,0.0,0.0,0.11037966,0.0017849818,0.0,0.13873106
784,190,23.004137,275.42737,0.24839582,12.7530365,35.643997,0.38288197,13.90733,0.0,14.179339,0.0,0.0,0.0,0.1114982,0.0018506721,0.0,0.14226392
784,200,37.91652,277.70636,0.2861594,12.75084,37.562786,0.40288913,21.747467,0.0,31.033247,0.0,0.0,0.0,0.15190637,0.0023731762,0.0,0.14684938
784,210,32.7808,280.45416,0.27506512,12.770892,39.48993,0.4227976,18.67202,0.0,18.290985,0.0,0.0,0.0,0.12243138,0.0018570767,0.0,0.14519951
784,220,42.871082,283.69873,0.29584366,12.812169,41.424812,0.44305524,24.336443,0.0,36.016727,0.0,0.0,0.0,0.15833287,0.002533701,0.0,0.14909172
784,230,23.65817,285.0499,0.25496003,12.810778,43.412815,0.46454728,14.874958,0.0,9.728636,0.0,0.0,0.0,0.105547525,0.0019155339,0.0,0.14617443
784,240,21.022774,284.98325,0.24266529,12.746786,45.36266,0.48394346,14.206253,0.0,10.390786,0.0,0.0,0.0,0.10597818,0.0019452125,0.0,0.14951928
784,250,32.206017,286.64374,0.26126215,12.79385,47.382328,0.5083436,20.15902,0.0,16.834908,0.0,0.0,0.0,0.11533485,0.003078033,0.0,0.1503013
784,260,32.38062,287.5546,0.2741197,12.832661,49.4655,0.5350472,17.274076,0.0,19.678019,0.0,0.0,0.0,0.12645207,0.0021751174,0.0,0.13851064
784,270,30.833193,289.22705,0.258657,12.910257,51.55266,0.56314814,19.817837,0.0,22.001158,0.0,0.0,0.0,0.12882195,0.0027610303,0.0,0.15530151
784,280,30.651648,288.98682,0.27087864,12.870794,53.564144,0.58530635,17.776798,0.0,19.636831,0.0,0.0,0.0,0.12811688,0.0017859027,0.0,0.14581344
