siteID,year,genus,species,<0,0-8,8-28,-48,-68,-88,>88,max_diam,max_hgt,leaf_area_ind,basal_area,total_biomC,pl_biomC_std,total_biomN,pl_biomN_std
349,10,Acer',ACERrubr,0,452,0,0,0,0,0,5.755923271179199,5.203387260437012,166.95750704518505,0.4746668410893572,706.6831195744127,2721.849775491624,0.003973853006197837,15.060506928612787
349,10,Acer',ACERsacc,0,673,0,0,0,0,0,7.259385108947754,6.085147380828857,239.91030140060786,0.6735511949960412,1117.574219453931,3432.945929094186,0.0059371403309348945,17.977393891381205
349,10,Acer',ACERnegu,0,214,0,0,0,0,0,6.547384738922119,3.555020570755005,87.72664339293406,0.2972628494483368,353.482727663517,1798.601391768008,0.0020483909418587574,10.449957438256348
349,10,Acer',ACERpens,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Acer',ACERspic,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Acer',ACERmacr,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Acer',ACERcirc,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Acer',ACERglab,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Acer',ACERnigr,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Acer',ACERplat,0,576,5,0,0,0,0,11.151302337646484,7.5315423011779785,279.2244975009485,0.8290578705293622,1307.5333777597548,4076.820351199406,0.006925221494677477,21.613226118425317
349,10,Aesculus',AESCocta,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Aesculus',AESCglab,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Carya',CARYcord,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Carya',CARYglab,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Carya',CARYovat,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349,10,Carya',CARYtome,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
