num_gpus,sites_per_gpu,total_sites,grid_height,grid_width,num_gaps,maxtrees,num_ticks,model_creation_time,load_globals_time,partitioning_time,site_init_time,connectivity_time,register_arrays_time,gpu_setup_time,first_tick_time,steady_state_time,mean_tick_time,simulation_time,total_edges,mean_gpu_compute,mean_gpu_sync,mean_data_prep,mean_kernel_args_build,mean_write_back,mean_mpi_gpu_pack,mean_mpi_gpu_sync_pack,mean_mpi_exchange,mean_mpi_wait_time,mean_mpi_gpu_unpack,mean_gpu_execution,mean_mpi_total,mean_total,gpu_execution_fraction,mpi_fraction
8,10,80,5,16,500,1000,1000,0.028133392333984375,1.5997719764709473,1.8358230590820312e-05,39.86649250984192,0.14316868782043457,1.430511474609375e-05,4.745479345321655,53.10871911048889,41.47720766067505,0.04151872638706211,94.60082030296326,640,0.0005673159350146045,0.0408781980489706,5.147120616099498e-06,1.3506090318834459e-05,1.5341603123509253e-05,5.32030839252997e-07,0.0,0.0,0.0,4.4957010282410516e-07,0.04144551398398521,9.81600942077102e-07,0.04151872638706211,0.9982366414038241,2.364236640897984e-05
16,10,160,5,32,500,1000,1000,0.028429746627807617,1.6197774410247803,2.4318695068359375e-05,40.96290373802185,0.02049565315246582,1.5020370483398438e-05,4.769896984100342,53.101744413375854,40.66491460800171,0.04070562022822994,93.78160524368286,1280,0.0005631885967693768,0.04006983066822316,5.205114324529608e-06,1.3701789252631537e-05,1.4915122642173424e-05,5.639558330549298e-07,0.0,0.0,0.0,4.735231233827837e-07,0.040633019264992534,1.0374789564377135e-06,0.04070562022822994,0.9982164388398864,2.5487363922247936e-05
32,10,320,5,64,500,1000,1000,0.028090953826904297,1.5941336154937744,4.00543212890625e-05,40.047181129455566,0.6807856559753418,1.5974044799804688e-05,4.8295581340789795,53.32181692123413,40.94621133804321,0.04098719853657979,94.28325247764587,2560,0.0005666407736930045,0.04034514207620401,5.133994468100913e-06,1.3814196810946689e-05,1.5692906575398642e-05,5.393054567508631e-07,0.0,0.0,0.0,4.483309030920655e-07,0.040911782849897015,9.876363598429286e-07,0.04098719853657979,0.9981600185088164,2.4096215284425796e-05
128,10,1280,5,256,500,1000,1000,0.03469562530517578,1.6072776317596436,0.0001418590545654297,40.16050863265991,0.32924342155456543,1.4543533325195312e-05,4.9902801513671875,53.791911602020264,40.79745888710022,0.04083829718428451,94.60604095458984,10240,0.0005669744165094049,0.04019218880135018,5.334705203861088e-06,1.4048080902557831e-05,1.6324632279985064e-05,5.384200477265978e-07,0.0,0.0,0.0,4.5392652964210126e-07,0.040759163217859586,9.923465773686991e-07,0.04083829718428451,0.9980622608707747,2.429941123379102e-05
64,10,640,5,128,500,1000,1000,0.03050851821899414,1.605144739151001,7.390975952148438e-05,39.899101972579956,0.9831466674804688,1.3828277587890625e-05,4.860793113708496,52.06841254234314,40.80604100227356,0.040846887890163726,92.88965129852295,5120,0.000574158953952121,0.04019914422784601,5.075523445198128e-06,1.3876725006867219e-05,1.5438020646989764e-05,5.125042957228583e-07,0.0,0.0,0.0,4.274229909683968e-07,0.040773303181798136,9.399272866912551e-07,0.040846887890163726,0.9981985235065286,2.301098896980099e-05
256,10,2560,5,512,500,1000,1000,0.03823685646057129,1.6073939800262451,0.0002586841583251953,39.88653349876404,0.6173100471496582,1.3589859008789062e-05,4.959215402603149,53.413838624954224,41.308250427246094,0.041349600027273364,94.73692560195923,20480,0.0005635262967587949,0.04071288304524617,5.025166768330831e-06,1.3850711368106388e-05,1.5255686518427607e-05,4.885840351815457e-07,0.0,0.0,0.0,4.244761334525214e-07,0.041276409342004966,9.130601686340672e-07,0.041349600027273364,0.9982299542143063,2.2081475226648653e-05
512,10,5120,5,1024,500,1000,1000,0.031439781188964844,1.59177565574646,0.0005712509155273438,39.76916694641113,0.6021397113800049,1.4543533325195312e-05,4.900095701217651,52.12416648864746,42.367271184921265,0.04240968086578705,94.50858163833618,40960,0.0005840751621219608,0.04174481283079039,5.349979266986713e-06,1.4341867960489787e-05,1.647164513756921e-05,5.239444608623917e-07,0.0,0.0,0.0,4.5911965516952424e-07,0.042328887992912345,9.83064116031916e-07,0.04240968086578705,0.9980949426822996,2.3180181882127257e-05
1024,10,10240,5,2048,500,1000,1000,0.041048288345336914,1.8092548847198486,0.0011243820190429688,39.84832453727722,1.030834436416626,1.71661376953125e-05,4.929487466812134,56.09719634056091,42.16158199310303,0.04220378577888191,98.27525210380554,81920,0.0005896010317721286,0.041530188139494474,5.496514810098184e-06,1.4741141516883093e-05,1.7242985325413304e-05,5.476554301944939e-07,0.0,0.0,0.0,4.3648590629284564e-07,0.0421197891712666,9.841413364873396e-07,0.04220378577888191,0.998009737608484,2.3318792812653028e-05
2048,10,20480,5,4096,500,1000,1000,0.09497189521789551,1.8093645572662354,0.0023283958435058594,40.29689693450928,0.9999179840087891,1.5974044799804688e-05,5.102059602737427,55.587541341781616,41.649593353271484,0.041691284637909394,97.25616931915283,163840,0.0005972972503295532,0.04100671139088002,5.69698688862202e-06,1.5160223623892447e-05,1.793700056868392e-05,5.744060163980013e-07,0.0,0.0,0.0,4.537074497571817e-07,0.04160400864120957,1.028113466155183e-06,0.041691284637909394,0.9979066129178359,2.4660153197110448e-05
1024,10,10240,5,2048,500,1000,1000,0.09923267364501953,1.6031920909881592,0.001100301742553711,39.976064682006836,2.328206777572632,1.5735626220703125e-05,5.030290842056274,56.948084354400635,41.58246397972107,0.04162408806778886,98.54625725746155,81920,0.000561877891227409,0.040988615921906404,5.195090720603416e-06,1.3939253202787748e-05,1.5400312803648375e-05,5.206089696144915e-07,0.0,0.0,0.0,4.4686493237276333e-07,0.04155049381313381,9.674739019872547e-07,0.04162408806778886,0.9982319311227865,2.324312548089053e-05
2048,10,20480,5,4096,500,1000,1000,0.10466837882995605,1.598146915435791,0.0023114681243896484,40.26148247718811,1.5123817920684814,1.6450881958007812e-05,5.044605255126953,56.96261787414551,42.43223786354065,0.04247471257611676,99.41005063056946,163840,0.0005621139232341473,0.04183966476280052,4.9039288922711775e-06,1.3740451724918278e-05,1.5079318820773898e-05,5.186627711261714e-07,0.0,0.0,0.0,4.3133286772308885e-07,0.04240177868603467,9.499956388492603e-07,0.04247471257611676,0.9982828867893716,2.2366146378196713e-05
