Group,Genus,Individual,Scientific name,Common name,AGEmax,DBHmax,Hmax,s,g,bulk,D_L,L_C,DEGDmin,DEGDoptimum,DEGDmax,l,d,f,n,fire,stress,old,evergreen,invader,seed,sprout,NDE,NDS,Species_code
10,Juniperus',3,Juniperus_osteosperma',Utah_juniper',650,61,9,0.30,1.000,0.50,0.15,0.5,1323,2546,3769,5,1,6,1,4,3,3,1,0.01,1,0,0.56,0.78,JUNIoste
10,Juniperus',4,Juniperus_scopulorum',Rocky_Mountain_juniper',300,76,15,0.36,3.000,0.48,0.15,0.5,828,2030,3233,4,1,5,1,4,3,3,1,0.01,1,0,0.56,0.78,JUNIscop
10,Juniperus',5,Juniperus_deppeana',Alligator_juniper',500,91,18,0.37,3.000,0.51,0.15,0.5,2030,3161,4291,5,1,6,1,4,3,3,1,0.01,1,0,0.56,0.78,JUNIdepp
10,Juniperus',6,Juniperus_monosperma',One_seed_juniper',500,46,9,0.33,1.174,0.52,0.15,0.5,1630,2546,3461,5,1,6,1,4,3,3,1,0.01,1,0,0.56,0.78,JUNImono
11,Liquidambar',1,Liquidambar_styraciflua',Sweet_gum',300,145,41,0.75,1.194,0.46,0.15,0.316,3052,4558,6064,5,3,2,1,4,3,3,0,0.1,1,1,0.1,0.31,LIQUstya
12,Liriodendron',1,Liriodendron_tulipifera',Yellow_poplar',300,368,61,0.47,1.748,0.4,0.15,0.316,2030,4047,6064,5,5,6,3,6,5,3,0,1,10,1,0.56,0.93,LIRItuli
13,Nyssa',1,Nyssa_sylvatica',Black_gum',300,92,18,0.52,0.562,0.46,0.15,0.316,2030,4521,7011,1,3,4,2,4,4,3,0,0.01,1,1,0.31,0.78,NYSSsylv
13,Nyssa',2,Nyssa_aquatica',Water_tupelo',200,107,30,0.54,3.000,0.46,0.15,0.316,3052,4558,6064,2,4,1,2,4,4,3,0,0.01,1,1,0.31,0.78,NYSSaqua
13,Nyssa',3,Nyssa_ogeche',Ogeechee_tupelo',150,46,18,0.72,3.000,0.46,0.15,0.316,3634,5238,6842,2,4,1,2,4,4,3,0,0.01,1,1,0.31,0.78,NYSSogec
14,Oxydendron',1,Oxydendron_arboreum',Sourwood',200,30,15,1.32,0.669,0.5,0.15,0.316,3052,3878,4704,3,4,6,2,4,4,3,0,1,100,1,0.56,0.78,OXYDarbo
15,Pinus',1,Pinus_echinata',Shortleat_pine',300,122,45,1.10,1.279,0.47,0.15,0.5,3052,4145,5238,5,2,6,1,1,2,2,1,0.01,1,1,0.56,0.93,PINUechi
15,Pinus',2,Pinus_strobus',White_pine',400,183,67,1.00,1.429,0.34,0.15,0.5,388,1961,3533,3,2,6,1,2,2,1,1,0.01,1,1,0.56,0.93,PINUstro
15,Pinus',3,Pinus_virginiana',Virginia_pine',300,91,37,1.12,1.056,0.45,0.15,0.5,3052,3563,4074,5,2,6,1,3,2,2,1,0.01,1,1,0.56,0.93,PINUvirg
15,Pinus',4,Pinus_banksiana',Jack_pine',150,61,21,0.64,3.000,0.42,0.15,0.5,388,1551,2712,5,2,6,1,2,2,1,1,0.1,10,0,0.56,0.93,PINUbank
15,Pinus',5,Pinus_palustris',Longleaf_pine',400,76,37,0.94,3.000,0.54,0.15,0.5,3052,4558,6064,5,2,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUpalu
15,Pinus',6,Pinus_pungens',Table_Mountain_pine',200,61,18,0.55,3.000,0.46,0.15,0.5,2030,3161,4291,5,1,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUpung
15,Pinus',7,Pinus_resinosa',Red_pine',350,76,35,0.89,3.000,0.39,0.15,0.5,828,2030,3233,4,2,6,1,2,2,1,1,0.01,1,0,0.56,0.93,PINUresi
