site,LATITUDE,LONGITUDE,tmin_jan,tmin_feb,tmin_mar,tmin_apr,tmin_may,tmin_jun,tmin_jul,tmin_aug,tmin_sep,tmin_oct,tmin_nov,tmin_dec,tmax_jan,tmax_feb,tmax_mar,tmax_apr,tmax_may,tmax_jun,tmax_jul,tmax_aug,tmax_sep,tmax_oct,tmax_nov,tmax_dec,prcp_jan,prcp_feb,prcp_mar,prcp_apr,prcp_may,prcp_jun,prcp_jul,prcp_aug,prcp_sep,prcp_oct,prcp_nov,prcp_dec
0,36.25,-84.25,-2.39,-0.77,2.83,7.34,12.45,17.25,19.55,19.10,15.04,8.36,2.80,-1.08,8.39,11.29,16.62,21.75,25.91,29.73,31.37,31.15,27.67,22.28,15.78,9.54,1254,1290,1271,1184,1229,1128,1400,865,989,769,1249,1377
1,35.75,-84.25,-2.39,-0.77,2.83,7.34,12.45,17.25,19.55,19.10,15.04,8.36,2.80,-1.08,8.39,11.29,16.62,21.75,25.91,29.73,31.37,31.15,27.67,22.28,15.78,9.54,1254,1290,1271,1184,1229,1128,1400,865,989,769,1249,1377
2,35.25,-84.25,-2.39,-0.77,2.83,7.34,12.45,17.25,19.55,19.10,15.04,8.36,2.80,-1.08,8.39,11.29,16.62,21.75,25.91,29.73,31.37,31.15,27.67,22.28,15.78,9.54,1254,1290,1271,1184,1229,1128,1400,865,989,769,1249,1377
3,36.25,-83.75,-2.39,-0.77,2.83,7.34,12.45,17.25,19.55,19.10,15.04,8.36,2.80,-1.08,8.39,11.29,16.62,21.75,25.91,29.73,31.37,31.15,27.67,22.28,15.78,9.54,1254,1290,1271,1184,1229,1128,1400,865,989,769,1249,1377
4,35.75,-83.75,-2.39,-0.77,2.83,7.34,12.45,17.25,19.55,19.10,15.04,8.36,2.80,-1.08,8.39,11.29,16.62,21.75,25.91,29.73,31.37,31.15,27.67,22.28,15.78,9.54,1254,1290,1271,1184,1229,1128,1400,865,989,769,1249,1377
5,35.25,-83.75,-2.39,-0.77,2.83,7.34,12.45,17.25,19.55,19.10,15.04,8.36,2.80,-1.08,8.39,11.29,16.62,21.75,25.91,29.73,31.37,31.15,27.67,22.28,15.78,9.54,1254,1290,1271,1184,1229,1128,1400,865,989,769,1249,1377
