site,name,latitude,longitude,altitude
0,Oak_Ridge,36.25,-84.25,275.8
1,Oak_Ridge,35.75,-84.25,275.8
2,Oak_Ridge,35.25,-84.25,275.8
3,Oak_Ridge,36.25,-83.75,275.8
4,Oak_Ridge,35.75,-83.75,275.8
5,Oak_Ridge,35.25,-83.75,275.8
