site,latitude,longitude,wmo,name,region,elevation,slope,soilA_field_cap,soilA_perm_wp,lai,soil_base_h,lai_w0,soilAO_w0,soilA_w0,sbase_w0,fire_prob,wind_prob,soilAO_c0,soilAO_n0,soilA_c0,soilA_n0,sbase_c0,sbase_n0,sigma,tmp_lapse_jan,tmp_lapse_feb,tmp_lapse_mar,tmp_lapse_apr,tmp_lapse_may,tmp_lapse_jun,tmp_lapse_jul,tmp_lapse_aug,tmp_lapse_sep,tmp_lapse_oct,tmp_lapse_nov,tmp_lapse_dec,prcp_lapse_jan,prcp_lapse_feb,prcp_lapse_mar,prcp_lapse_apr,prcp_lapse_may,prcp_lapse_jun,prcp_lapse_jul,prcp_lapse_aug,prcp_lapse_sep,prcp_lapse_oct,prcp_lapse_nov,prcp_lapse_dec
0,48.75,-122.25,0,CONUS_48.75_-122.25,USA,326.6,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,12.3,0.25,82.7,6.38,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,48.75,-121.75,0,CONUS_48.75_-121.75,USA,515.5,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,14.1,0.28,94.8,7.31,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,48.75,-121.25,0,CONUS_48.75_-121.25,USA,505.6,0,14.0,8.0,3.0,35.0,0.5,0.6,13.2,10.9,0,0,8.0,0.16,53.9,4.16,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,48.75,-120.75,0,CONUS_48.75_-120.75,USA,332.3,0,21.9,11.2,3.0,35.0,0.5,0.6,20.6,10.9,0,0,13.3,0.27,89.5,6.9,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,48.75,-120.25,0,CONUS_48.75_-120.25,USA,436.4,0,21.3,11.1,3.0,35.0,0.5,0.6,20.0,10.9,0,0,12.0,0.24,81.0,6.25,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,48.75,-119.75,0,CONUS_48.75_-119.75,USA,525.1,0,13.1,6.1,3.0,35.0,0.5,0.6,12.3,10.9,0,0,9.6,0.19,64.6,4.98,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,48.75,-119.25,0,CONUS_48.75_-119.25,USA,336.8,0,20.9,10.7,3.0,35.0,0.5,0.6,19.6,10.9,0,0,10.8,0.22,72.8,5.62,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,48.75,-118.75,0,CONUS_48.75_-118.75,USA,230.7,0,13.1,6.1,3.0,35.0,0.5,0.6,12.3,10.9,0,0,8.3,0.17,56.0,4.32,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,48.75,-118.25,0,CONUS_48.75_-118.25,USA,374.3,0,16.1,7.7,3.0,35.0,0.5,0.6,15.1,10.9,0,0,6.4,0.13,43.0,3.32,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,48.75,-117.75,0,CONUS_48.75_-117.75,USA,259.3,0,22.2,12.5,3.0,35.0,0.5,0.6,20.9,10.9,0,0,6.5,0.13,43.8,3.38,3.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
